序號,答案
20240117090001,1401.69
20240117091001,1706.76
20240117092001,1798.67
20240117093001,2008.65
20240117094001,2180.69
20240117095001,1032.23
20240117100001,1306.04
20240117101001,1161.72
20240117102001,1691.42
20240117103001,2171.55
20240117104001,815.51
20240117105001,1301.42
20240117110001,748.58
20240117111001,1424.5
20240117112001,2075.12
20240117113001,541.87
20240117114001,1687.81
20240117115001,450.13
20240117120001,1340.37
20240117121001,1929.14
20240117122001,319.81
20240117123001,2159.05
20240117124001,66.89
20240117125001,1602.69
20240117130001,1753.2
20240117131001,122.64
20240117132001,2536.12
20240117133001,-441.5
20240117134001,1988.27
20240117135001,1412.33
20240117140001,20.09
20240117141001,2859.19
20240117142001,-936.7
20240117143001,2189.07
20240117144001,939.76
20240117145001,80.55
20240117150001,3339.94
20240117151001,-1311.53
20240117152001,2302.75
20240117153001,464.03
20240117154001,296.74
20240117155001,3934.5
20240117160001,-1437.02
20240117161001,2498.5
20240117162001,-27.08
20240117163001,677.93
20240117164001,4181.59
20240117165001,-1188.42
20240119090001,4018.45
20240119091001,3182.05
20240119092001,2913.7
20240119093001,2451.6
20240119094001,2956.16
20240119095001,1335.35
20240119100001,1423.76
20240119101001,1777.39
20240119102001,2242.08
20240119103001,2150.44
20240119104001,856.56
20240119105001,1182.73
20240119110001,772.17
20240119111001,1517.43
20240119112001,2150.07
20240119113001,598.09
20240119114001,1687.81
20240119115001,450.13
20240119120001,1340.37
20240119121001,1929.14
20240119122001,319.81
20240119123001,2159.05
20240119124001,66.89
20240119125001,1602.69
20240119130001,1753.2
20240119131001,122.64
20240119132001,2536.12
20240119133001,-441.5
20240119134001,1988.27
20240119135001,1412.33
20240119140001,20.09
20240119141001,2859.19
20240119142001,-936.7
20240119143001,2189.07
20240119144001,939.76
20240119145001,80.55
20240119150001,3339.94
20240119151001,-1311.53
20240119152001,2302.75
20240119153001,464.03
20240119154001,296.74
20240119155001,3934.5
20240119160001,-1437.02
20240119161001,2498.5
20240119162001,-27.08
20240119163001,677.93
20240119164001,4181.59
20240119165001,-1188.42
20240224090001,449.51
20240224091001,817.95
20240224092001,979.39
20240224093001,1680.9
20240224094001,2132.24
20240224095001,1876.92
20240224100001,-399.48
20240224101001,-326.07
20240224102001,-364.95
20240224103001,-81.2
20240224104001,-28.45
20240224105001,76.54
20240224110001,-65.38
20240224111001,-28.17
20240224112001,-91.93
20240224113001,-31.08
20240224114001,181.61
20240224115001,300.21
20240224120001,423.84
20240224121001,611.87
20240224122001,753.68
20240224123001,797.69
20240224124001,899.23
20240224125001,1463.84
20240224130001,1615.88
20240224131001,1926.08
20240224132001,1766.31
20240224133001,1683.09
20240224134001,724.56
20240224135001,931.16
20240224140001,786.18
